time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-09-25,91.8,92.6,60,19.8,0.0,76.0,2022-09-25,25.95,LA,43.958333333333336,43.07777777777778,31.190476190476193
2022-09-26,93.5,92.7,62,18.0,0.0,76.2,2022-09-26,26.395833333333332,LA,25.95,39.37638888888889,31.48095238095238
2022-09-27,97.5,95.5,59,18.1,0.0,77.8,2022-09-27,41.920833333333334,LA,26.395833333333332,32.101388888888884,32.238095238095234
2022-09-28,98.4,96.2,61,18.1,0.0,77.9,2022-09-28,58.2875,LA,41.920833333333334,31.42222222222222,35.34166666666666
2022-09-29,93.2,89.9,76,18.4,0.0,73.8,2022-09-29,57.9875,LA,58.2875,42.201388888888886,40.25535714285714
2022-09-30,84.1,82.1,79,14.8,0.0,69.6,2022-09-30,35.5875,LA,57.9875,52.731944444444444,43.24583333333333
2022-10-01,80.3,79.9,76,16.3,0.0,67.6,2022-10-01,20.466666666666665,LA,35.5875,50.62083333333334,41.441071428571426
2022-10-02,81.5,80.4,76,16.6,0.0,68.5,2022-10-02,19.316666666666663,LA,20.466666666666665,38.01388888888889,38.085119047619045
2022-10-03,84.2,82.2,79,16.8,0.0,68.8,2022-10-03,26.541666666666668,LA,19.316666666666663,25.123611111111106,37.137499999999996
2022-10-04,89.3,86.6,79,16.0,0.0,70.7,2022-10-04,43.65833333333333,LA,26.541666666666668,22.10833333333333,37.15833333333334
2022-10-05,88.6,85.2,82,16.9,0.0,70.4,2022-10-05,45.06666666666666,LA,43.65833333333333,29.838888888888885,37.406547619047615
2022-10-06,86.6,84.4,80,17.7,0.0,70.2,2022-10-06,31.179166666666664,LA,45.06666666666666,38.42222222222222,35.51785714285714
2022-10-07,87.9,84.6,78,15.1,0.0,70.5,2022-10-07,27.05,LA,31.179166666666664,39.96805555555556,31.688095238095237
2022-10-08,88.6,85.9,76,15.8,0.0,71.1,2022-10-08,48.73333333333333,LA,27.05,34.43194444444445,30.468452380952378
2022-10-09,85.9,84.1,79,16.3,0.0,69.8,2022-10-09,48.96666666666667,LA,48.73333333333333,35.65416666666666,34.506547619047616
