time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-09-11,92.3,95.5,39,11.4,0.0,80.8,2022-09-11,18.083333333333332,Sacramento,12.2875,14.833333333333334,12.392261904761906
2022-09-12,90.7,93.7,45,18.1,0.0,78.8,2022-09-12,18.504166666666663,Sacramento,18.083333333333332,15.91388888888889,13.90952380952381
2022-09-13,79.6,82.5,59,20.7,0.0,69.6,2022-09-13,4.370833333333334,Sacramento,18.504166666666663,16.291666666666668,15.076190476190476
2022-09-14,78.9,80.9,62,18.0,0.0,68.0,2022-09-14,8.645833333333334,Sacramento,4.370833333333334,13.652777777777777,13.844642857142857
2022-09-15,79.7,81.6,62,12.0,0.0,68.4,2022-09-15,10.25,Sacramento,8.645833333333334,10.506944444444445,13.443452380952381
2022-09-16,85.6,86.5,60,14.2,0.0,70.0,2022-09-16,9.366666666666667,Sacramento,10.25,7.755555555555557,12.7875
2022-09-17,76.2,80.2,63,21.7,0.0,67.0,2022-09-17,4.8625,Sacramento,9.366666666666667,9.420833333333334,11.644047619047617
2022-09-18,70.1,76.7,70,29.4,20.2,65.4,2022-09-18,4.3875,Sacramento,4.8625,8.159722222222223,10.583333333333332
2022-09-19,75.7,73.4,84,10.2,32.6,63.9,2022-09-19,5.441666666666666,Sacramento,4.3875,6.205555555555557,8.626785714285713
2022-09-20,77.3,75.0,75,7.7,0.3,65.8,2022-09-20,7.833333333333333,Sacramento,5.441666666666666,4.897222222222223,6.760714285714286
2022-09-21,76.4,76.6,70,18.6,7.6,65.8,2022-09-21,7.570833333333333,Sacramento,7.833333333333333,5.8875,7.255357142857142
2022-09-22,79.4,82.1,64,14.5,0.0,68.1,2022-09-22,8.970833333333333,Sacramento,7.570833333333333,6.948611111111112,7.101785714285714
2022-09-23,88.1,86.6,62,9.0,0.0,70.6,2022-09-23,16.695833333333333,Sacramento,8.970833333333333,8.125000000000002,6.919047619047619
2022-09-24,92.2,93.6,54,12.2,0.0,74.7,2022-09-24,16.954166666666666,Sacramento,16.695833333333333,11.079166666666667,7.966071428571429
2022-09-25,93.6,94.0,55,11.6,0.0,74.6,2022-09-25,10.529166666666669,Sacramento,16.954166666666666,14.206944444444446,9.69345238095238
2022-09-26,91.7,92.1,60,14.2,0.0,72.3,2022-09-26,8.420833333333333,Sacramento,10.529166666666669,14.726388888888891,10.570833333333335
2022-09-27,84.1,87.1,56,12.0,0.0,68.8,2022-09-27,7.733333333333333,Sacramento,8.420833333333333,11.968055555555557,10.996428571428572
2022-09-28,84.8,88.1,60,12.2,0.0,69.9,2022-09-28,6.391666666666667,Sacramento,7.733333333333333,8.894444444444446,10.982142857142858
2022-09-29,87.0,88.0,61,9.9,0.0,71.9,2022-09-29,6.845833333333334,Sacramento,6.391666666666667,7.515277777777778,10.813690476190477
2022-09-30,88.1,90.7,46,8.2,0.0,73.6,2022-09-30,8.441666666666666,Sacramento,6.845833333333334,6.99027777777778,10.510119047619048
2022-10-01,86.8,88.2,61,16.3,0.0,69.6,2022-10-01,7.933333333333334,Sacramento,8.441666666666666,7.2263888888888905,9.33095238095238
2022-10-02,84.3,84.9,63,12.8,0.0,68.3,2022-10-02,4.466666666666667,Sacramento,7.933333333333334,7.74027777777778,8.042261904761904
2022-10-03,87.7,88.9,58,13.9,0.0,70.0,2022-10-03,5.754166666666666,Sacramento,4.466666666666667,6.947222222222223,7.176190476190476
2022-10-04,88.0,88.3,63,10.0,0.0,70.4,2022-10-04,7.670833333333333,Sacramento,5.754166666666666,6.05138888888889,6.795238095238096
2022-10-05,91.0,90.7,59,7.1,0.0,72.5,2022-10-05,9.7125,Sacramento,7.670833333333333,5.9638888888888895,6.786309523809524
2022-10-06,92.9,93.1,56,10.1,0.0,73.9,2022-10-06,10.4875,Sacramento,9.7125,7.712500000000001,7.260714285714286
2022-10-07,91.7,95.8,54,10.2,0.0,74.3,2022-10-07,12.254166666666668,Sacramento,10.4875,9.29027777777778,7.780952380952381
2022-10-08,92.0,94.3,54,10.5,0.0,74.2,2022-10-08,12.75,Sacramento,12.254166666666668,10.818055555555558,8.325595238095238
2022-10-09,89.0,91.2,58,10.6,0.0,70.7,2022-10-09,10.279166666666669,Sacramento,12.75,11.830555555555557,9.013690476190476
2022-10-10,89.6,93.0,55,11.4,0.0,71.6,2022-10-10,12.079166666666666,Sacramento,10.279166666666669,11.761111111111115,9.84404761904762
2022-10-11,86.3,88.3,56,12.3,0.0,68.9,2022-10-11,14.1,Sacramento,12.079166666666666,11.702777777777778,10.747619047619049
2022-10-12,84.8,86.5,61,13.8,0.0,67.4,2022-10-12,12.420833333333334,Sacramento,14.1,12.152777777777779,11.666071428571428
2022-10-13,81.5,82.7,68,13.5,0.0,64.8,2022-10-13,8.908333333333333,Sacramento,12.420833333333334,12.866666666666667,12.05297619047619
2022-10-14,84.2,85.6,66,11.4,0.0,66.4,2022-10-14,10.583333333333334,Sacramento,8.908333333333333,11.809722222222225,11.827380952380953
2022-10-15,79.9,81.0,73,17.6,0.0,63.8,2022-10-15,7.879166666666666,Sacramento,10.583333333333334,10.637500000000003,11.588690476190477
2022-10-16,74.9,76.7,69,13.0,0.0,64.8,2022-10-16,4.795833333333333,Sacramento,7.879166666666666,9.123611111111112,10.892857142857142
2022-10-17,76.6,77.2,70,8.3,0.0,63.6,2022-10-17,9.491666666666667,Sacramento,4.795833333333333,7.75277777777778,10.10952380952381
2022-10-18,82.5,85.7,56,9.5,0.0,68.8,2022-10-18,13.3375,Sacramento,9.491666666666667,7.38888888888889,9.739880952380954
2022-10-19,83.4,86.1,42,10.5,0.0,68.7,2022-10-19,12.866666666666667,Sacramento,13.3375,9.208333333333336,9.630952380952381
2022-10-20,83.5,85.9,43,9.6,0.0,69.2,2022-10-20,18.466666666666665,Sacramento,12.866666666666667,11.898611111111114,9.694642857142856
2022-10-21,77.8,81.7,64,18.2,0.0,64.4,2022-10-21,16.383333333333333,Sacramento,18.466666666666665,14.890277777777778,11.060119047619049
2022-10-22,65.8,74.3,49,25.6,0.0,64.3,2022-10-22,4.716666666666667,Sacramento,16.383333333333333,15.905555555555557,11.888690476190476
2022-10-23,59.7,71.2,31,25.8,0.0,61.5,2022-10-23,2.7916666666666665,Sacramento,4.716666666666667,13.18888888888889,11.43690476190476
2022-10-24,67.9,73.9,29,15.6,0.0,60.3,2022-10-24,4.429166666666666,Sacramento,2.7916666666666665,7.963888888888889,11.150595238095237
2022-10-25,69.7,73.0,47,9.7,0.0,60.7,2022-10-25,11.9,Sacramento,4.429166666666666,3.9791666666666665,10.427380952380954
2022-10-26,63.9,71.6,53,16.1,0.0,58.0,2022-10-26,10.433333333333334,Sacramento,11.9,6.373611111111111,10.222023809523808
