time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-10-15,92.2,90.0,74,19.9,0.0,77.0,2022-10-15,10.516666666666667,Houston,11.733333333333334,8.800000000000002,10.843452380952382
2022-10-16,93.4,87.0,79,16.8,2.3,77.8,2022-10-16,9.458333333333334,Houston,10.516666666666667,9.906944444444447,10.173214285714286
2022-10-17,83.4,74.5,79,20.7,20.9,68.8,2022-10-17,10.3875,Houston,9.458333333333334,10.569444444444446,9.925595238095239
2022-10-18,58.8,67.2,33,21.2,0.0,60.5,2022-10-18,5.591666666666666,Houston,10.3875,10.120833333333335,9.700000000000001
2022-10-19,60.6,65.8,38,14.6,0.0,55.8,2022-10-19,9.5,Houston,5.591666666666666,8.479166666666668,8.907738095238097
2022-10-20,75.5,79.6,50,19.8,0.0,64.1,2022-10-20,7.775,Houston,9.5,8.493055555555555,9.236904761904762
2022-10-21,82.9,84.5,60,24.4,0.0,71.3,2022-10-21,6.429166666666667,Houston,7.775,7.622222222222223,9.280357142857143
2022-10-22,81.0,84.8,63,29.5,0.0,73.9,2022-10-22,7.704166666666667,Houston,6.429166666666667,7.901388888888891,8.522619047619049
2022-10-23,79.9,85.3,62,30.2,0.0,76.8,2022-10-23,7.616666666666667,Houston,7.704166666666667,7.30277777777778,8.120833333333334
2022-10-24,81.0,85.0,69,40.3,1.9,78.2,2022-10-24,9.841666666666669,Houston,7.616666666666667,7.250000000000001,7.857738095238096
2022-10-25,79.3,76.7,56,31.1,22.7,65.1,2022-10-25,5.6625000000000005,Houston,9.841666666666669,8.387500000000001,7.779761904761905
2022-10-26,70.5,72.3,55,11.1,0.0,61.0,2022-10-26,9.620833333333334,Houston,5.6625000000000005,7.706944444444447,7.789880952380953
2022-10-27,72.9,74.7,63,18.0,0.0,63.4,2022-10-27,15.1,Houston,9.620833333333334,8.375000000000002,7.807142857142858
2022-10-28,74.8,73.7,89,33.5,28.0,67.4,2022-10-28,12.2875,Houston,15.1,10.12777777777778,8.85357142857143
2022-10-29,64.5,67.7,78,22.8,0.0,61.9,2022-10-29,7.870833333333334,Houston,12.2875,12.336111111111114,9.690476190476192
2022-10-30,71.0,73.7,75,17.9,0.0,63.7,2022-10-30,10.870833333333332,Houston,7.870833333333334,11.75277777777778,9.714285714285714
2022-10-31,76.4,75.7,75,12.0,0.3,64.6,2022-10-31,22.22083333333333,Houston,10.870833333333332,10.343055555555557,10.179166666666665
2022-11-01,69.0,68.5,92,22.4,18.2,63.9,2022-11-01,14.9125,Houston,22.22083333333333,13.654166666666669,11.947619047619046
2022-11-02,76.6,73.5,90,15.3,7.4,66.5,2022-11-02,11.941666666666668,Houston,14.9125,16.001388888888886,13.26904761904762
2022-11-03,84.6,81.4,88,25.1,3.6,74.1,2022-11-03,9.1625,Houston,11.941666666666668,16.358333333333334,13.600595238095238
2022-11-04,84.7,83.0,89,32.9,37.9,75.6,2022-11-04,9.016666666666667,Houston,9.1625,12.005555555555558,12.752380952380951
2022-11-05,74.6,69.9,74,26.9,26.2,64.6,2022-11-05,8.241666666666667,Houston,9.016666666666667,10.04027777777778,12.285119047619048
2022-11-06,88.0,82.9,88,16.4,3.5,71.7,2022-11-06,10.870833333333332,Houston,8.241666666666667,8.806944444444445,12.338095238095237
2022-11-07,88.6,82.2,89,14.3,0.3,75.2,2022-11-07,7.270833333333333,Houston,10.870833333333332,9.37638888888889,12.338095238095239
2022-11-08,84.8,81.6,83,19.8,0.0,73.7,2022-11-08,6.458333333333333,Houston,7.270833333333333,8.794444444444446,10.202380952380953
2022-11-09,84.7,81.9,83,17.4,0.1,72.9,2022-11-09,9.145833333333334,Houston,6.458333333333333,8.200000000000001,8.994642857142857
2022-11-10,84.1,80.2,82,17.3,0.0,71.9,2022-11-10,11.645833333333334,Houston,9.145833333333334,7.625000000000001,8.595238095238095
